,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
139,2040.0,1031,98.0,267056.5910017701,685659112.0010412,18905889.156822897,55840.531095799,67384596.1820721,0.0,0.0,0.0,0.0,16,,,,,d01031
140,2045.0,1031,98.0,273250.70731000014,711001729.5899999,19620974.577400003,57223.820625,69584249.963,0.0,0.0,0.0,0.0,16,,,,,d01031
141,2050.0,1031,98.0,282779.80963000015,736241579.1099999,20324577.385199994,58519.078706,71812919.97299999,0.0,0.0,0.0,0.0,16,,,,,d01031
142,2055.0,1031,98.0,293750.6677,760637033.28,21002371.4503,59678.635615,73939012.22,0.0,0.0,0.0,0.0,16,,,,,d01031
143,2060.0,1031,98.0,305981.4054,786195374.88,21713093.405199997,60908.769670999995,76232322.155,0.0,0.0,0.0,0.0,16,,,,,d01031
144,2020.0,1033,98.0,422594.21321690007,828885668.9120301,23114145.832572095,69385.005116969,82170355.618902,0.0,0.0,0.0,0.0,16,,,,,d01033
145,2025.0,1033,98.0,393379.15350044006,852431489.065845,23765533.878456596,71645.550357788,85261998.83875841,0.0,0.0,0.0,0.0,16,,,,,d01033
146,2030.0,1033,98.0,371707.99116035993,881915268.6535428,24596606.0931985,73375.351746531,87803946.0413343,0.0,0.0,0.0,0.0,16,,,,,d01033
147,2035.0,1033,98.0,359945.693374319,905354758.384142,25269589.51371327,74856.2876846562,90137275.40595852,0.0,0.0,0.0,0.0,16,,,,,d01033
148,2040.0,1033,98.0,361862.07001028,937347970.57982,26189671.181879397,76399.01407838,92611915.6286274,0.0,0.0,0.0,0.0,16,,,,,d01033
149,2045.0,1033,98.0,370308.4359000001,972064201.57,27182229.287199996,78297.09013399998,95634998.252,0.0,0.0,0.0,0.0,16,,,,,d01033
150,2050.0,1033,98.0,383265.09447000007,1006587809.24,28157385.675000016,80071.90402999999,98697993.362,0.0,0.0,0.0,0.0,16,,,,,d01033
151,2055.0,1033,98.0,398177.1024600001,1039939599.86,29096276.890000004,81659.85391,101620000.316,0.0,0.0,0.0,0.0,16,,,,,d01033
152,2060.0,1033,98.0,414802.4478499998,1074883015.9,30080744.374000013,83344.17479,104771849.753,0.0,0.0,0.0,0.0,16,,,,,d01033
153,2020.0,1035,98.0,312557.7112009999,515673542.7863499,8888766.815342603,39835.501416949,55426608.193878606,258711.554,19407.641,0.0,69529.7985,16,,,,,d01035
154,2025.0,1035,98.0,292292.93897570996,531064997.644736,9154709.4096784,41133.816877133,57512058.3985795,223040.8113,51680.16,11329.152999999998,71512.3753,16,,,,,d01035
155,2030.0,1035,98.0,275022.852774705,549585917.6612691,9474710.509785,42122.596665095,59226710.5806826,185039.850101,84496.04,25215.442,73687.9075253,16,,,,,d01035
156,2035.0,1035,98.0,265464.5464634289,564556303.7974279,9733735.424752302,42955.921465788,60800536.11593861,160637.44774024,106822.19,36474.32,75983.61193506,16,,,,,d01035
157,2040.0,1035,98.0,266229.5614311601,584458910.1122308,10078039.004248198,43812.743280681,62469722.0100815,151237.42,119970.47,43385.91,78648.45000000001,16,,,,,d01035
158,2045.0,1035,98.0,272032.1533900001,605953921.3499999,10449785.106199998,44894.188393,64508998.54900001,149320.3,128269.25,47465.09,81263.78,16,,,,,d01035
159,2050.0,1035,98.0,281431.0832199999,627878014.47,10829118.123,45933.530036,66575072.845,151659.77,134014.31,50053.71000000001,83932.01999999999,16,,,,,d01035
160,2055.0,1035,98.0,292357.40497,649356134.3599999,11200993.1534,46877.87809599999,68546085.288,155834.98,138485.64,51894.18,86553.59999999999,16,,,,,d01035
161,2060.0,1035,98.0,304517.06858,671914715.96,11591772.6467,47884.021559,70672070.426,160707.01,142850.23,53568.939999999995,89281.49,16,,,,,d01035
162,2020.0,1037,98.0,138454.0037679794,273028339.4507783,5695494.751001865,22519.722419104004,24228438.4696571,0.0,0.0,0.0,0.0,16,,,,,d01037
163,2025.0,1037,98.0,129316.4507343297,280938960.5221,5860750.924623876,23250.857114587005,25140102.9342367,0.0,0.0,0.0,0.0,16,,,,,d01037
164,2030.0,1037,98.0,122232.1373707213,290500887.84392834,6061550.32083666,23798.083788462,25889509.173135597,0.0,0.0,0.0,0.0,16,,,,,d01037
165,2035.0,1037,98.0,118328.4215231704,297858869.9134253,6217462.850155572,24249.4644920234,26577534.98435244,0.0,0.0,0.0,0.0,16,,,,,d01037
166,2040.0,1037,98.0,118860.8555389647,307836735.90174973,6428622.93410167,24706.931602645,27307246.4924402,0.0,0.0,0.0,0.0,16,,,,,d01037
167,2045.0,1037,98.0,121562.77753170002,318792135.1541,6659953.927685999,25285.399039,28198605.6882,0.0,0.0,0.0,0.0,16,,,,,d01037
